full_address,lat,lon
360 Bt Batok St 31,1.3610968,103.7505944
368 Bt Batok St 31,1.3603651,103.7504134
318 Bt Batok St 32,1.3609702,103.7471547
321 Bt Batok St 33,1.3613345,103.7475168
407 Bt Batok West Ave 4,1.3647887,103.745797
410 Bt Batok West Ave 4,1.364427,103.7449823
148 Bt Batok West Ave 6,1.3492735,103.7438088
146 Bt Batok West Ave 6,1.3496382,103.7440804
135 Bt Batok West Ave 6,1.3512457,103.7448048
179 Bt Batok West Ave 8,1.3457669,103.7421789
280 Bt Batok East Ave 3,1.3478798,103.7568434
283 Bt Batok East Ave 3,1.3472903,103.7574769
272 Bt Batok East Ave 4,1.3488264,103.7578393
374 Bt Batok St 31,1.3581629,103.7507487
324 Bt Batok St 33,1.3622112,103.7479694
342 Bt Batok St 34,1.3625739,103.748603
413 Bt Batok West Ave 4,1.3635376,103.7467021
106 Bt Batok Ctrl,1.3481564,103.7469767
105 Bt Batok Ctrl,1.3485949,103.7471578
266 Bt Batok East Ave 4,1.3493256,103.7601931
268 Bt Batok East Ave 4,1.3493318,103.7591068
161 Bt Batok St 11,1.3484775,103.7420888
202 Bt Batok St 21,1.3463897,103.7485152
210 Bt Batok St 21,1.345503,103.7498727
211 Bt Batok St 21,1.3463788,103.750416
340 Bt Batok St 34,1.3631549,103.7495082
345 Bt Batok St 34,1.3628539,103.750866
337 Bt Batok St 34,1.363158,103.7489651
540 Bt Batok St 52,1.3544255,103.7512281
112 Bt Batok West Ave 6,1.3483128,103.7452569
114 Bt Batok West Ave 6,1.3488214,103.7459811
108 Bt Batok West Ave 6,1.347426,103.7466144
165 Bt Batok West Ave 8,1.3473798,103.7419076
172 Bt Batok West Ave 8,1.345702,103.7407306
126 Bt Batok Ctrl,1.3519,103.7467279
238 Bt Batok East Ave 5,1.3499261,103.7545128
244 Bt Batok East Ave 5,1.3491241,103.7570247
232 Bt Batok East Ave 5,1.3494301,103.7547616
219 Bt Batok St 21,1.3472311,103.7550328
305 Bt Batok St 31,1.3578147,103.7479694
364 Bt Batok St 31,1.360665,103.7492367
363 Bt Batok St 31,1.3609581,103.7492367
316 Bt Batok St 32,1.3606049,103.7469737
322 Bt Batok St 33,1.3617009,103.7475168
138 Bt Batok West Ave 6,1.3502232,103.7442615
301 Bt Batok St 31,1.3567114,103.7486935
333 Bt Batok St 32,1.3641186,103.7476073
319 Bt Batok St 33,1.3611948,103.7463401
325 Bt Batok St 33,1.3625813,103.7473358
327 Bt Batok St 33,1.362798,103.7478789
331 Bt Batok St 33,1.3636062,103.7475168
338 Bt Batok St 34,1.3635134,103.750866
350 Bt Batok St 34,1.3616914,103.7491461
531 Bt Batok St 51,1.3563356,103.7503229
510 Bt Batok St 52,1.3524244,103.755211
419 Bt Batok West Ave 2,1.3620741,103.7463401
426 Bt Batok West Ave 2,1.3620852,103.7444392
642 Bt Batok Ctrl,1.34868,103.7514575
286 Bt Batok East Ave 3,1.3464285,103.7581229
254 Bt Batok East Ave 4,1.3497044,103.7580206
216 Bt Batok St 21,1.3471667,103.7534939
171 Bt Batok West Ave 8,1.3461435,103.7403687
170 Bt Batok West Ave 8,1.3465113,103.7400971
214 Bt Batok St 21,1.347389,103.7527269
366 Bt Batok St 31,1.3605216,103.7486935
542 Bt Batok St 52,1.3536918,103.7514091
33 Taman Ho Swee,1.2881248,103.8309561
7 Telok Blangah Cres,1.2784398,103.8194072
28 Hoy Fatt Rd,1.2864623,103.8098075
129 Bt Merah View,1.2836058,103.8239356
130 Bt Merah View,1.2850605,103.8244715
131 Jln Bt Merah,1.2801336,103.8283184
2 Jln Bt Merah,1.2866982,103.8068191
1 Jln Bt Merah,1.2865434,103.8083586
130 Kim Tian Rd,1.2805035,103.8292858
6 Telok Blangah Cres,1.2782254,103.8185015
5 Telok Blangah Cres,1.2788063,103.8192261
8 Telok Blangah Cres,1.2778549,103.8194072
15 Telok Blangah Cres,1.2771169,103.8206751
16 Telok Blangah Cres,1.2780633,103.8213997
13 Telok Blangah Cres,1.2782145,103.820494
21 Telok Blangah Cres,1.2766836,103.8208603
44 Telok Blangah Dr,1.2714028,103.8106225
28 Telok Blangah Rise,1.2739914,103.8209274
32 Telok Blangah Rise,1.2731553,103.8217065
35 Telok Blangah Rise,1.2730336,103.8221303
33 Telok Blangah Way,1.2742268,103.8224586
88 Zion Rd,1.2917633,103.8330607
102 Bt Purmei Rd,1.2720458,103.8267436
108 Bt Purmei Rd,1.2734415,103.8254768
107 Bt Purmei Rd,1.2732267,103.8246613
142 Jln Bt Merah,1.2770762,103.8281018
145 Jln Bt Merah,1.2775014,103.8305473
144 Jln Bt Merah,1.2773581,103.8300039
54 Telok Blangah Dr,1.2735829,103.8118904
55 Telok Blangah Dr,1.2739474,103.8120715
75 Telok Blangah Dr,1.2749161,103.8087208
65 Telok Blangah Dr,1.2741756,103.8104415
62 Telok Blangah Hts,1.2753474,103.8111688
63 Telok Blangah Hts,1.2748311,103.8108943
40 Beo Cres,1.2891435,103.8274678
29 Havelock Rd,1.2890508,103.8310002
22 Havelock Rd,1.288844,103.8287358
46 Jln Bt Ho Swee,1.2883461,103.8261998
32 Jln Bt Ho Swee,1.2875293,103.8284641
6 Jln Bt Ho Swee,1.287659,103.831453
107 Jln Bt Merah,1.2799457,103.8247507
26 Jln Klinik,1.288261,103.8283736
20 Jln Klinik,1.2882025,103.8290302
17 Redhill Cl,1.2852316,103.8176692
22 Redhill Cl,1.2866478,103.8179714
